id,reference_evidence,vela_evidence,assessment
PX0-079,PX-BRAIN,V-LIBRARY,partial
PX0-080,PX-BRAIN,V-LIBRARY,partial
PX0-081,PX-BRAIN,V-IMPROVE,partial
PX0-082,PX-BRAIN,V-WORKFLOW,partial
PX0-083,PX-BUILD,V-WORKFLOW,partial
PX0-084,PX-BUILD,V-STORE,partial
PX0-085,PX-ASK,V-ASK,partial
PX0-086,PX-ASK,V-ASK,partial
PX0-087,PX-ASK,V-IMPROVE,partial
PX0-088,PX-RUN,V-WORKFLOW,partial
PX0-089,PX-RUN,V-RUNTIME,partial
PX0-090,PX-RUN,V-STORE,partial
PX0-091,PX-HEALTH,V-IMPROVE,partial
PX0-092,PX-HEALTH,V-NONE,missing
PX0-093,PX-HEALTH,V-NONE,missing
PX0-094,PX-HEALTH,V-NONE,missing
PX0-095,PX-HEALTH,V-NONE,missing
PX0-096,PX-HEALTH,V-IMPROVE,partial
PX0-097,PX-RUN,V-IMPROVE,implemented_bounded
PX0-098,PX-RUN,V-IMPROVE,partial
PX0-099,PX-RUN,V-IMPROVE,partial
PX0-100,PX-STORE,V-STORE,implemented_bounded
PX0-101,PX-STORE,V-STORE,partial
PX0-102,PX-STORE,V-LIBRARY,partial
PX0-103,PX-STORE,V-STORE,partial
PX0-104,PX-STORE,V-NONE,missing
PX0-105,PX-STORE,V-NONE,missing
PX0-106,PX-STORE,V-STORE,partial
PX0-107,PX-STORE,V-CONNECTOR,partial
PX0-108,PX-STORE,V-NONE,missing_intentional
PX0-109,PX-STORE,V-STORE,partial
PX0-110,PX-STORE,V-NONE,missing
PX0-111,PX-STORE,V-STORE,partial
PX0-112,PX-STORE,V-NONE,partial
PX0-113,PX-STORE,V-NONE,missing
PX0-114,PX-STORE,V-RUNTIME,partial
PX0-115,PX-STORE,V-RUNTIME,partial
PX0-116,PX-STORE,V-STORE,partial
PX0-117,PX-STORE,V-STORE,partial
PX0-118,PX-STORE,V-STORE,partial
PX0-119,PX-STORE,V-NONE,reference_conflict
PX0-120,PX-STORE,V-NONE,reference_not_delivered
